Work_Type,nat_median,nat_mad,nat_n,nat_median_amount
 Laying of synthetic turfs for hockey and football,13.592367006650065,0.0,1,800000.0000000003
" Providing sports equipment, except consumable items",13.811730422245407,0.00021784556843229552,7,996226.9999999995
"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",13.815510557964274,0.0004396932735160064,4,999999.9999999995
Construction of New Building,13.815510557964274,0.0,3,999999.9999999995
Construction of additional rooms and halls in the existing public and community building,13.122363377404328,0.6931471805599454,38,499999.9999999997
Construction of artificial reef,11.918390573078392,0.6931471805599454,2,149999.99999999994
Construction of boundary walls of existing public and community buildings,13.11295000938783,0.5014122557494929,144,495315.39951832726
Construction of building for artificial insemination and breeding centers,12.765688433465597,0.0,1,350000.0000000001
Construction of buildings for community cultural activities,12.765688433465597,0.5596157879354227,99,350000.0000000001
Construction of buildings for crèches and anganwadies,14.004834209441615,0.35260875676578074,7,1208432.000000001
Construction of buildings for multi-gym,12.866950565521332,0.25541281188299525,2,387298.33462074114
Construction of buildings for sports facilities,13.122089339859471,0.6928731430150883,5,499863.00000000035
Construction of bus-sheds or bus-stops,12.46821380818923,0.03931367053721413,114,259941.9999999999
Construction of common work sheds/ common covered sitting area,12.594578081313305,0.30322073562136787,237,294955.0000000001
Construction of community centers and community halls,13.116339268843245,0.5048015152049068,429,496997.0000000003
Construction of culverts and bridges,13.813129726031827,0.40472975644659215,119,997622.0000000002
"Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",13.812753761490377,0.34581676673399997,13,997246.9999999991
"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",13.463905234057876,0.7274852578953492,44,703557.7446094947
Construction of foot over bridge (FOB),12.649024488897242,0.7895254336470403,4,311459.46766794554
Construction of footpaths and pedestrian ways,12.602228088071353,0.601986402162968,88,297220.06056119455
Construction of night shelters for homeless,13.815510557964274,0.0,3,999999.9999999995
Construction of public irrigation facilities,13.075342085632311,0.49358804741387097,20,477033.5417976389
Construction of public libraries and reading rooms,13.810722985031745,0.2284964781585508,24,995223.869227422
Construction of public staircase/ stair ghat for public convenience,13.830453290269144,0.034037889916752384,2,1015054.9330947571
Construction of public toilets and bathrooms,13.010791601747224,0.9090383887727143,28,447213.5954999579
Construction of rainwater harvesting structures,13.907177746490097,0.0,15,1095999.9999999993
Construction of road under bridge,13.122363377404328,0.0010230459094691113,10,499999.9999999997
"Construction of roads, link roads, pathways or any other road with or without drainage system",13.122363377404328,0.5199926878437111,2396,499999.9999999997
"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",13.06856748546113,0.723974870317214,16,473812.7523822042
