warning_id,State,Constituency,MP_Name,IDA,District,Work_Type,Date,Amount,Payment_Status,cost_z,cost_ratio,early_warning_score,risk_level,reason
EW-000001,Uttar Pradesh,SHRAWASTI,Ram Shiromani,Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA),Shrawasti,Lighting of public spaces,07-Aug-2026,673112.0,Payment In-Progress,4.328061355896861,3.35713359467736,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 3.4x the completed-works median for 'Lighting of public spaces' (₹673,112 (₹6.73 lakh) vs. median ₹200,502 (₹2.01 lakh), n=1675) — worth reviewing before final payment."
EW-000002,Uttar Pradesh,SANT KABIR NAGAR,LAXMIKANT PAPPU NISHAD,Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),Sant Kabir Nagar,Lighting of public spaces,06-Aug-2026,739130.0,Payment In-Progress,4.6624240142619575,3.6863971431706415,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 3.7x the completed-works median for 'Lighting of public spaces' (₹739,130 (₹7.39 lakh) vs. median ₹200,502 (₹2.01 lakh), n=1675) — worth reviewing before final payment."
EW-000003,West Bengal,BISHNUPUR(SC),Saumitra khan,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),BANKURA,Construction of common work sheds/ common covered sitting area,01-Sep-2026,1448361.0,Payment In-Progress,3.539915313860779,4.910447356376395,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 4.9x the completed-works median for 'Construction of common work sheds/ common covered sitting area' (₹1,448,361 (₹14.48 lakh) vs. median ₹294,955 (₹2.95 lakh), n=237) — worth reviewing before final payment."
EW-000004,Delhi,NEW DELHI,Bansuri Swaraj,CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT)),CENTRAL,Lighting of public spaces,03-Sep-2026,649381.0,Payment In-Progress,4.199793700856682,3.238775673060618,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 3.2x the completed-works median for 'Lighting of public spaces' (₹649,381 (₹6.49 lakh) vs. median ₹200,502 (₹2.01 lakh), n=1675) — worth reviewing before final payment."
EW-000005,Tamil Nadu,MAYILADUTHURAI,SUDHA R,THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA),THANJAVUR,Construction of bus-sheds or bus-stops,01-Sep-2026,394795.0,Payment In-Progress,7.170000124454548,1.5187811127097588,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 1.5x the completed-works median for 'Construction of bus-sheds or bus-stops' (₹394,795 (₹3.95 lakh) vs. median ₹259,942 (₹2.60 lakh), n=114) — worth reviewing before final payment."
EW-000006,Chhattisgarh,RAJNANDGAON,Santosh Pandey,Mohla-Manpur-Ambagarh Chouki(Collector MMC_IDA),Mohla-Manpur-Ambagarh Chouki,Construction of bus-sheds or bus-stops,03-Sep-2026,420000.0,Payment In-Progress,8.231806401798396,1.6157450508190294,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 1.6x the completed-works median for 'Construction of bus-sheds or bus-stops' (₹420,000 (₹4.20 lakh) vs. median ₹259,942 (₹2.60 lakh), n=114) — worth reviewing before final payment."
EW-000007,Karnataka,BELLARY(ST),E. TUKARAM,Vijayanagara(DEPUTY COMMISSIONER VIJAYANAGARA_IDA),Vijayanagara,Construction of bus-sheds or bus-stops,02-Sep-2026,600000.0,Payment In-Progress,14.351236269303275,2.3082072154557562,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 2.3x the completed-works median for 'Construction of bus-sheds or bus-stops' (₹600,000 (₹6.00 lakh) vs. median ₹259,942 (₹2.60 lakh), n=114) — worth reviewing before final payment."
EW-000008,Karnataka,BELLARY(ST),E. TUKARAM,Vijayanagara(DEPUTY COMMISSIONER VIJAYANAGARA_IDA),Vijayanagara,Construction of bus-sheds or bus-stops,02-Sep-2026,600000.0,Payment In-Progress,14.351236269303275,2.3082072154557562,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 2.3x the completed-works median for 'Construction of bus-sheds or bus-stops' (₹600,000 (₹6.00 lakh) vs. median ₹259,942 (₹2.60 lakh), n=114) — worth reviewing before final payment."
EW-000009,Bihar,KARAKAT,RAJA RAM SINGH,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),AURANGABAD,Installing hand pumps,02-Sep-2026,74517.0,Payment In-Progress,66.17140184311656,1.0079944809674533,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 1.0x the completed-works median for 'Installing hand pumps' (₹74,517 vs. median ₹73,926, n=234) — worth reviewing before final payment."
EW-000010,Bihar,KARAKAT,RAJA RAM SINGH,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),AURANGABAD,Installing hand pumps,02-Sep-2026,74517.0,Payment In-Progress,66.17140184311656,1.0079944809674533,40,Critical - Priority Investigation,"Still IN PROGRESS — disbursed-so-far is 1.0x the completed-works median for 'Installing hand pumps' (₹74,517 vs. median ₹73,926, n=234) — worth reviewing before final payment."
