MP_Name,State,Constituency,Allocated_Amount,Works_Completed_Count,Works_Completed_Total_Amount,Expenditure_Records_Count,Expenditure_Total_Amount,Expenditure_Payment In-Progress,Expenditure_Payment Success,Expenditure_Unspecified,Calamity_Consent_Count,Calamity_Consent_Total_Amount,Total_Fund_Utilized,Balance_Allocated_Limit,Utilization_Percent
BISHNU PADA RAY,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,147000000.0,0.0,0.0,4.0,5329861.0,0.0,5329861.0,0.0,0.0,0.0,5329861.0,141670139.0,3.63
Maddila Gurumoorthy,Andhra Pradesh,TIRUPATI(SC),180399007.0,15.0,8489704.0,29.0,6810524.0,3004950.0,3805574.0,0.0,0.0,0.0,6810524.0,173588483.0,3.78
Dr Chandra Sekhar Pemmasani,Andhra Pradesh,GUNTUR,159774113.11,0.0,0.0,19.0,14645757.0,3975336.0,10670421.0,0.0,0.0,0.0,14645757.0,145128356.11,9.17
DR BYREDDY SHABARI,Andhra Pradesh,NANDYAL,150675889.11,2.0,1642211.0,10.0,4791685.0,0.0,4791685.0,0.0,0.0,0.0,4791685.0,145884204.11,3.18
Magunta Sreenivasulu Reddy,Andhra Pradesh,ONGOLE,147000000.0,0.0,0.0,3.0,3720853.0,2521716.0,1199137.0,0.0,0.0,0.0,3720853.0,143279147.0,2.53
AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,ANANTAPUR,201899064.11,7.0,3883891.0,7.0,3316864.0,0.0,3316864.0,0.0,0.0,0.0,3316864.0,198582200.11,1.64
DAGGUMALLA PRASADA RAO,Andhra Pradesh,CHITTOOR,147000000.0,77.0,33830660.0,5.0,2466915.0,0.0,2466915.0,0.0,0.0,0.0,2466915.0,144533085.0,1.68
Daggubati Purandeshwari,Andhra Pradesh,RAJAHMUNDRY,147000000.0,0.0,0.0,2.0,2118531.0,0.0,2118531.0,0.0,0.0,0.0,2118531.0,144881469.0,1.44
C.M.RAMESH,Andhra Pradesh,ANAKAPALLE,202531656.11,0.0,0.0,2.0,3121992.0,3121992.0,0.0,0.0,0.0,0.0,3121992.0,199409664.11,1.54
Sivanath Kesineni,Andhra Pradesh,VIJAYAWADA,159864032.49,0.0,0.0,1.0,1642866.0,0.0,1642866.0,0.0,0.0,0.0,1642866.0,158221166.49,1.03
TANGELLA UDAY SRINIVAS,Andhra Pradesh,KAKINADA,199417886.76,1.0,5958963.0,4.0,2661694.0,1170176.0,1491518.0,0.0,0.0,0.0,2661694.0,196756192.76,1.33
Bhupathiraju Srinivasa varma,Andhra Pradesh,NARASAPURAM,147000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147000000.0,0.0
