Source,State,Constituency,MP_Name,Work,IDA,Date,Amount,Payment_Status
Works_Completed,Bihar,ARARIA,Pradeep Kumar Singh,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),05-Sep-2024,448127.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Kerala,KOLLAM,Shri NK Premachandran,"WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),12-Aug-2024,293492.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Kerala,KOLLAM,Shri NK Premachandran,WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),28-Oct-2024,1182588.0,Completed
Works_Completed,Kerala,KOLLAM,Shri NK Premachandran,WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),17-Aug-2024,338444.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133696-Installing community drinking water plants,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,84500.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133701-Installing community drinking water plants,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,84500.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133703-Installing community drinking water plants,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,84500.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,300000.0,Completed
Works_Completed,Kerala,KOLLAM,Shri NK Premachandran,WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),06-Dec-2024,4740188.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,"WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system",JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),08-Oct-2024,500000.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,"WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system",JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),06-Dec-2024,1500000.0,Completed
Works_Completed,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,WS/	 MP620/2024-2025/133312-Construction of buildings for community cultural activities,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),09-Jun-2025,498091.0,Completed
Works_Completed,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),14-Oct-2024,497185.0,Completed
Works_Completed,Maharashtra,NAGPUR,Nitin Jairam Gadkari,WS/MP672/2024-2025/136731-Lighting of public spaces,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),23-Aug-2024,963514.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,WS/MP18278/2024-2025/134638-Construction of common work sheds/ common covered sitting area,SAKTI(COLLECTOR SAKTI_IDA),12-Feb-2025,300000.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,"WS/MP18278/2024-2025/134644-Construction of roads, link roads, pathways or any other road with or without drainage system",SAKTI(COLLECTOR SAKTI_IDA),12-Feb-2025,1000000.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,"WS/MP18278/2024-2025/134646-Construction of roads, link roads, pathways or any other road with or without drainage system",SAKTI(COLLECTOR SAKTI_IDA),25-Nov-2024,999550.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,"WS/MP18278/2024-2025/134674-Construction of roads, link roads, pathways or any other road with or without drainage system",JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),27-Nov-2024,998000.0,Completed
Works_Completed,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar,WS/MP492/2024-2025/134984-Lighting of public spaces,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),25-Nov-2024,37908000.0,Completed
Works_Completed,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar,WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),25-Nov-2024,9900000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,298940.0,Completed
Works_Completed,Kerala,MAVELIKKARA(SC),Shri Suresh Kodikunnil,"WS/MP347/2024-2025/138112-Construction of roads, link roads, pathways or any other road with or without drainage system",KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),09-Sep-2024,1254628.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,"WS/MP18278/2024-2025/134672-Construction of roads, link roads, pathways or any other road with or without drainage system",JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),17-Oct-2024,991511.0,Completed
Works_Completed,Maharashtra,RAVER,Smt Raksha Nikhil Khadse,WS/MP691/2024-2025/140096-Fitting of Sitting RCC Benches in Public Places,JALGAON(DISTRICT COLLECTOR JALGAON_IDA),11-Sep-2024,2974718.0,Completed
Works_Completed,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,WS/MP18278/2024-2025/134649-Construction of culverts and bridges,SAKTI(COLLECTOR SAKTI_IDA),05-Mar-2025,998871.0,Completed
Works_Completed,Himachal Pradesh,MANDI,Kangana Ranaut,WS/MP18328/2024-2025/138242-Lighting of public spaces,MANDI(DEPUTY COMMISSIONER MANDI_IDA),16-Jun-2025,14805.0,Completed
Works_Completed,Himachal Pradesh,MANDI,Kangana Ranaut,WS/MP18328/2024-2025/138243-Lighting of public spaces,MANDI(DEPUTY COMMISSIONER MANDI_IDA),16-Jun-2025,14805.0,Completed
Works_Completed,Himachal Pradesh,MANDI,Kangana Ranaut,WS/MP18328/2024-2025/138244-Lighting of public spaces,MANDI(DEPUTY COMMISSIONER MANDI_IDA),16-Jun-2025,14805.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,197304.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133699-Installing community drinking water plants,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,84500.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,299155.0,Completed
Works_Completed,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Mahesh Sharma,"WS/MP777/2024-2025/136655-Construction of roads, link roads, pathways or any other road with or without drainage system",GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),09-Sep-2025,995219.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/137630-Purchase of mobile water tankers,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,200000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/137631-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,299155.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/137637-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,299155.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/137640-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,299155.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/137641-Construction of rooms and halls in school and colleges,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,299155.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/137633-Purchase of mobile water tankers,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,200000.0,Completed
Works_Completed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA,WS/MP18152/2024-2025/137635-Street lights,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),07-Apr-2025,200000.0,Completed
