MP_Name,Work_Type,Amount,log_spend,peer_median,peer_mad,peer_n_mps,peer_median_spend,conc_eligible,conc_z,conc_ratio,conc_score,mp_total_amount,mp_works_n,portfolio_share,mp_cat_works_n,conc_reason
ABHAY KUMAR SINHA,Lighting of public spaces,1495000.0,14.217636764806924,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,-0.31107411659077205,0.5540829426955929,0,39939422.0,84,0.03743168842052847,5,
ABHAY KUMAR SINHA,Purchase of books and periodicals for libraries/digitization of library books,38444422.0,17.46472417187058,13.458835614025542,1.4655849707377069,7,700000.0000000002,False,0.0,54.92060285714284,0,39939422.0,84,0.9625683115794715,79,
ABHIJIT GANGOPADHYAY,Construction of additional rooms and halls in the existing public and community building,1986497.0,14.501883344041842,13.81528000481769,0.6929616294384839,24,999769.4734287509,True,0.6683111050202839,1.9869550459339653,0,5523765.78,15,0.35962730483478245,2,
ABHIJIT GANGOPADHYAY,"Construction of roads, link roads, pathways or any other road with or without drainage system",2737868.7800000003,14.822690358189007,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.17286376317808066,0.7903683617679931,0,5523765.78,15,0.4956525835894512,10,
ABHIJIT GANGOPADHYAY,Installing tube-wells and borewells,200000.0,12.206072645530174,13.14725957257652,0.9530793891161249,32,512604.3466944067,True,-0.6660836332653198,0.39016446366427643,0,5523765.78,15,0.036207183281402634,1,
ABHIJIT GANGOPADHYAY,Street lights,599400.0,13.3036844338647,14.893113691774463,1.2240634603534417,65,2937630.0000000014,True,-0.875828802332341,0.20404203388445777,0,5523765.78,15,0.1085129282943637,2,
ADITYA YADAV,"Construction of roads, link roads, pathways or any other road with or without drainage system",4582229.0,15.33769611892218,15.057946519666173,0.917949939299187,226,3464041.467798128,True,0.20555707519544472,1.3227985411250383,0,9509429.0,13,0.48186163438414653,5,
ADITYA YADAV,Lighting of public spaces,4927200.0,15.410281433354971,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,0.31727140385401176,1.8261387794312542,0,9509429.0,13,0.5181383656158535,8,
AFZAL ANSARI,Construction of boundary walls of existing public and community buildings,2901794.0,14.880839724379456,13.800753921547606,0.6784135446722939,62,985351.7091490725,True,1.0738551429747638,2.944932223749755,0,25062440.0,19,0.11578258142463384,5,
AFZAL ANSARI,"Construction of roads, link roads, pathways or any other road with or without drainage system",2124258.0,14.568933122893768,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.35932192160152515,0.6132311116212638,0,25062440.0,19,0.08475862685357052,3,
AFZAL ANSARI,Lighting of public spaces,20036388.0,16.813060578414884,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,1.0563263924994004,7.425967106375026,0,25062440.0,19,0.7994587917217957,11,
AJENDRA SINGH LODHI,Construction of rooms and halls in school and colleges,9686186.0,16.0862113047343,13.889238600811138,0.7668752234068101,61,1076513.9999999993,True,1.93233272319463,8.997733424739488,0,10008873.0,7,0.9677599066348429,6,
AJENDRA SINGH LODHI,Lighting of public spaces,322687.0,12.684438092134071,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,-1.1188407073715072,0.11959556022047677,0,10008873.0,7,0.032240093365157096,1,
AKHILESH YADAV,"Construction of roads, link roads, pathways or any other road with or without drainage system",1689758.0,14.340095881379563,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.5274691296281097,0.4877995877670807,0,1689758.0,1,1.0,1,
AKSHAYA YADAV,"Construction of roads, link roads, pathways or any other road with or without drainage system",48853717.0,17.70434102363001,15.057946519666173,0.917949939299187,226,3464041.467798128,True,1.9445429609008635,14.103098203109335,0,48853717.0,20,1.0,20,
ALFRED KANNGAM S ARTHUR,Construction of boundary walls of existing public and community buildings,1879510.0,14.446521662536195,13.800753921547606,0.6784135446722939,62,985351.7091490725,True,0.6420425192235872,1.907450895501163,0,27751963.0,14,0.06772529928783777,1,
ALFRED KANNGAM S ARTHUR,Construction of buildings for sports facilities,1879510.0,14.446521662536195,14.038654109278484,0.22411402206865638,3,1250000.0000000005,False,0.0,1.5036079999999994,0,27751963.0,14,0.06772529928783777,1,
ALFRED KANNGAM S ARTHUR,Construction of public toilets and bathrooms,1879510.0,14.446521662536195,13.010791601747224,0.8303681034170749,16,447213.5954999579,True,1.1662296781596826,4.20271212439063,0,27751963.0,14,0.06772529928783777,1,
ALFRED KANNGAM S ARTHUR,"Construction of roads, link roads, pathways or any other road with or without drainage system",9496472.0,16.06643091917539,15.057946519666173,0.917949939299187,226,3464041.467798128,True,0.7410237730265393,2.741442932562902,0,27751963.0,14,0.34219100104738537,5,
ALFRED KANNGAM S ARTHUR,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",3000000.0,14.914122846632385,13.122363377404328,0.5108256237659905,13,499999.9999999997,False,0.0,6.0000000000000036,0,27751963.0,14,0.10810046121782449,1,
ALFRED KANNGAM S ARTHUR,Construction of rooms and halls in school and colleges,2000000.0,14.508657738524219,13.889238600811138,0.7668752234068101,61,1076513.9999999993,True,0.5448059809931299,1.8578485741941129,0,27751963.0,14,0.07206697414521632,1,
ALFRED KANNGAM S ARTHUR,Creation of new ponds,1978431.0,14.497814664294241,14.851423699475491,0.3536090351812504,5,2817678.0000000023,False,0.0,0.7021494294238015,0,27751963.0,14,0.07128976786254723,1,
ALFRED KANNGAM S ARTHUR,Development of playground,5638530.0,15.545133951204305,13.761018831344273,0.606943052395259,18,946966.3434378215,True,1.9826994371160724,5.954308766170241,0,27751963.0,14,0.20317589786351328,3,
ALOK SHARMA,Construction of additional rooms and halls in the existing public and community building,1100000.0,13.9108207377686,13.81528000481769,0.6929616294384839,24,999769.4734287509,True,0.09299537180378405,1.100253637698603,0,6080980.0,11,0.18089189571417766,1,
ALOK SHARMA,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,4980980.0,15.42113721678938,13.126325517749349,0.5838245245570999,37,501985.0000000003,True,2.651225541059154,9.922567407392645,7,6080980.0,11,0.8191081042858224,10,"ALOK SHARMA spent ₹4,980,980 (₹49.81 lakh) on 'Crematoriums/energy efficient crematoriums or structures on burial/cremation ground' works — 9.9x the median MP spend in that category (₹501,985 (₹5.02 lakh), n=37 peer MPs), 82% of this MP's total disbursed funds."
AMARSING TISSO,Construction of boundary walls of existing public and community buildings,2982697.0,14.908338482742696,13.800753921547606,0.6784135446722939,62,985351.7091490725,True,1.1011952700427825,3.027037932045391,0,25068172.0,33,0.11898342647401654,2,
