MP_Name,State,Constituency,Allocated_Amount,Total_Fund_Utilized,Balance_Allocated_Limit,Utilization_Percent,pace_band,pace_note
Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Bidyut Baran Mahato,Jharkhand,JAMSHEDPUR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Prof SP Singh Baghel,Uttar Pradesh,AGRA(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KALI CHARAN MUNDA,Jharkhand,KHUNTI(ST),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sanjay Seth,Jharkhand,RANCHI,147064357.11,0.0,147064357.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Nishikant Dubey,Jharkhand,GODDA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KANWAR SINGH TANWAR,Uttar Pradesh,AMROHA,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JOBA MAJHI,Jharkhand,SINGHBHUM(ST),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SUKHDEO BHAGAT,Jharkhand,LOHARDAGA(ST),171821957.11,0.0,171821957.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Vijay Kumar Hansdak,Jharkhand,RAJMAHAL(ST),147223957.11,0.0,147223957.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kakoli Ghosh Dastidar,West Bengal,BARASAT,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Mukesh Rajput,Uttar Pradesh,FARRUKHABAD,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Jagannath Sarkar,West Bengal,RANAGHAT(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JAGADISH CHANDRA BARMA BASUNIA,West Bengal,COOCHBEHAR(SC),168604641.11,0.0,168604641.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
NIMUBEN JAYANTIBHAI BAMBHANIYA,Gujarat,BHAVNAGAR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
PATEL UMESHBHAI BABUBHAI,The Dadra And Nagar Haveli And Daman And Diu,DAMAN and DIU,245063957.0,0.0,245063957.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dr Jayanta Kumar Roy,West Bengal,JALPAIGURI(SC),147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kalaben Mohanbhai Delkar,The Dadra And Nagar Haveli And Daman And Diu,DADRA & NAGAR HAVELI (ST),269500000.0,0.0,269500000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dr Mohammad Jawed,Bihar,KISHANGANJ,148669229.11,0.0,148669229.11,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
TARIQ ANWAR,Bihar,KATIHAR,147000000.0,0.0,147000000.0,0.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
