month,works_completed,amount_disbursed,flagged,avg_risk_score,flagged_rate_pct,in_progress_amount,in_progress_flagged
2024-08,3,1595450.0,1,35.3,33.3,0.0,0
2024-09,9,11370079.0,4,24.4,44.4,0.0,0
2024-10,85,44839209.0,8,8.0,9.4,0.0,0
2024-11,124,156787452.98,10,7.0,8.1,0.0,0
2024-12,225,133758893.14,19,6.6,8.4,0.0,0
2025-01,320,149988080.0,40,7.5,12.5,0.0,0
2025-02,289,161618458.1,19,6.2,6.6,0.0,0
2025-03,651,399483161.6,85,9.8,13.1,0.0,0
2025-04,549,304976496.0,115,10.8,20.9,0.0,0
2025-05,902,446031017.0,98,8.6,10.9,0.0,0
2025-06,860,465190745.0,89,8.4,10.3,150000.0,0
2025-07,1129,708211402.0,191,11.2,16.9,200000.0,0
2025-08,661,269380496.8,102,8.1,15.4,216409.0,0
2025-09,402,241809035.0,50,9.6,12.4,450000.0,0
2025-10,309,162233908.0,18,6.8,5.8,340078.0,0
2025-11,283,194283761.0,20,7.3,7.1,333597.0,0
2025-12,404,299474930.0,62,9.0,15.3,1447098.0,0
2026-01,1276,489287788.0,114,5.4,8.9,1068967.0,0
2026-02,501,201114416.0,69,8.5,13.8,3146875.0,1
2026-03,287,138583981.0,22,11.8,7.7,10560567.0,0
2026-04,245,103597454.0,36,8.9,14.7,9528595.0,1
2026-05,37,22784537.0,7,8.2,18.9,13494349.0,1
2026-06,0,0.0,0,,,22348006.0,2
2026-07,63,66511944.0,16,13.7,25.4,83406869.0,2
2026-08,158,121012332.78,30,13.2,19.0,363245169.0,66
2026-09,34,28142767.0,4,9.7,11.8,282519367.0,62
